batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2212,R2212,9,1,8,114,18,96,0,1961700,58.0,673.0,16:53,697.0,17:17,Complete
B2213,R2213,9,4,7,125,17,108,0,2078400,38.0,673.0,16:53,696.0,17:16,Complete
B2214,R2214,10,3,7,83,17,66,0,1659800,119.0,674.0,16:54,697.0,17:17,Complete
B2215,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2216,R2216,1,9,6,113,18,95,0,1953700,117.0,674.0,16:54,695.0,17:15,Complete
B2217,,2,5,5,59,10,49,1,1500100,,,,,,Overdue
B2218,,2,8,6,28,12,16,1,1177100,,,,,,Overdue
B2219,,3,5,6,50,10,40,1,1418200,,,,,,Overdue
B2220,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2221,R2221,6,3,5,81,12,69,0,1696600,52.0,674.0,16:54,689.0,17:09,Complete
B2222,,6,7,5,77,14,63,1,1640300,,,,,,Overdue
B2223,R2223,9,4,7,125,18,107,0,2078400,19.0,674.0,16:54,697.0,17:17,Complete
B2224,,2,5,5,59,11,48,1,1500100,,,,,,Overdue
B2225,,3,5,6,50,10,40,1,1418200,,,,,,Overdue
B2226,R2226,3,9,5,122,17,105,0,2057100,37.0,676.0,16:56,696.0,17:16,Complete
B2227,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2228,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2229,R2229,7,10,6,108,18,90,0,1903100,55.0,675.0,16:55,696.0,17:16,Complete
B2230,,8,3,5,57,12,45,1,1461100,,,,,,Overdue
B2231,R2231,10,3,7,83,17,66,0,1659800,50.0,678.0,16:58,698.0,17:18,Complete
B2232,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2233,,1,6,5,23,9,14,1,1150600,,,,,,Overdue
B2234,,2,5,5,59,10,49,1,1500100,,,,,,Overdue
B2235,R2235,3,9,5,122,17,105,0,2057100,39.0,676.0,16:56,696.0,17:16,Complete
B2236,,4,3,4,45,9,36,1,1378400,,,,,,Overdue
B2237,,7,1,5,56,9,47,1,1486500,,,,,,Overdue
B2238,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2239,R2239,10,3,7,83,17,66,0,1659800,119.0,677.0,16:57,700.0,17:20,Complete
B2240,,1,5,4,27,9,18,1,1190900,,,,,,Overdue
B2241,,2,4,5,54,8,46,1,1478700,,,,,,Overdue
B2242,,6,7,5,77,15,62,1,1640300,,,,,,Overdue
B2243,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2244,,7,6,6,78,15,63,1,1649300,,,,,,Overdue
B2245,R2245,9,4,7,125,17,108,0,2078400,19.0,677.0,16:57,700.0,17:20,Complete
B2246,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2247,,1,5,4,27,10,17,1,1190900,,,,,,Overdue
B2248,,1,6,5,23,9,14,1,1150600,,,,,,Overdue
B2249,,5,2,5,61,10,51,1,1520100,,,,,,Overdue
B2250,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2251,,10,3,7,83,17,66,2,1679800,,,,,,Overdue
B2252,,1,5,4,27,9,18,1,1190900,,,,,,Overdue
B2253,,2,4,5,54,8,46,1,1478700,,,,,,Overdue
B2254,,2,5,5,59,11,48,1,1500100,,,,,,Overdue
B2255,,3,5,6,50,10,40,1,1418200,,,,,,Overdue
B2256,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2257,R2257,6,3,5,81,12,69,1,1706600,40.0,680.0,17:00,695.0,17:15,Complete
B2258,R2258,9,1,8,114,18,96,0,1961700,59.0,679.0,16:59,705.0,17:25,Complete
B2259,R2259,9,4,7,125,17,108,1,2088400,14.0,680.0,17:00,703.0,17:23,Complete
B2260,,2,1,6,54,9,45,1,1463000,,,,,,Overdue
B2261,,2,4,6,54,8,46,1,1477700,,,,,,Overdue
B2262,,2,5,6,59,10,49,1,1499100,,,,,,Overdue
B2263,,3,4,6,45,9,36,1,1376400,,,,,,Overdue
B2264,R2264,3,9,6,122,17,105,1,2066100,41.0,680.0,17:00,700.0,17:20,Complete
B2265,,3,10,10,83,17,66,2,1676800,,,,,,Overdue
B2266,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2267,,4,3,5,45,9,36,1,1377400,,,,,,Overdue
B2268,,6,7,6,77,14,63,2,1649300,,,,,,Overdue
B2269,R2269,8,6,6,110,19,91,1,1927000,24.0,680.0,17:00,702.0,17:22,Complete
B2270,,10,4,5,66,14,52,1,1531900,,,,,,Overdue
B2271,,1,2,5,54,9,45,1,1464000,,,,,,Overdue
B2272,,1,5,6,27,9,18,1,1188900,,,,,,Overdue
B2273,,2,5,6,59,11,48,1,1499100,,,,,,Overdue
B2274,,3,1,6,51,8,43,1,1447100,,,,,,Overdue
B2275,,3,4,6,45,9,36,1,1376400,,,,,,Overdue
B2276,,3,5,7,50,10,40,1,1417200,,,,,,Overdue
B2277,,4,3,5,45,9,36,1,1377400,,,,,,Overdue
B2278,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2279,,8,1,6,83,14,69,2,1715400,,,,,,Overdue
B2280,R2280,9,4,7,125,17,108,1,2088400,18.0,681.0,17:01,704.0,17:24,Complete
B2281,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2282,,1,5,6,27,10,17,1,1188900,,,,,,Overdue
B2283,,2,4,6,54,8,46,1,1477700,,,,,,Overdue
B2284,,3,1,6,51,8,43,1,1447100,,,,,,Overdue
B2285,,3,4,6,45,9,36,1,1376400,,,,,,Overdue
B2286,,3,10,10,83,17,66,2,1676800,,,,,,Overdue
B2287,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2288,,5,10,4,38,12,26,1,1276300,,,,,,Overdue
B2289,,6,1,4,23,9,14,1,1151600,,,,,,Overdue
B2290,R2290,9,3,6,121,17,104,1,2056100,31.0,683.0,17:03,703.0,17:23,Complete
B2291,,1,2,5,54,9,45,1,1464000,,,,,,Overdue
B2292,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2293,,1,5,6,27,9,18,1,1188900,,,,,,Overdue
B2294,,1,7,5,55,9,46,1,1476500,,,,,,Overdue
B2295,,1,10,7,61,15,46,2,1478400,,,,,,Overdue
B2296,,2,1,6,54,9,45,1,1463000,,,,,,Overdue
B2297,,3,4,6,45,9,36,1,1376400,,,,,,Overdue
B2298,,3,10,10,83,17,66,2,1676800,,,,,,Overdue
B2299,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2300,R2300,4,9,6,124,17,107,1,2079400,20.0,683.0,17:03,703.0,17:23,Complete
B2301,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2302,R2302,9,4,7,125,17,108,1,2088400,14.0,683.0,17:03,706.0,17:26,Complete
B2303,R2303,9,10,7,177,21,156,1,2572300,8.0,686.0,17:06,710.0,17:30,Complete
B2304,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2305,,2,4,6,54,8,46,1,1477700,,,,,,Overdue
B2306,,3,10,10,83,17,66,2,1676800,,,,,,Overdue
B2307,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2308-1,,4,3,5,45,9,36,1,1377400,,,,,,Overdue
B2308-2,,4,3,5,45,9,36,1,1377400,,,,,,Overdue
B2309,,4,7,5,57,9,48,1,1495500,,,,,,Overdue
