batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2471,,9,1,8,114,18,96,2,1983700,,,,,,Overdue
B2472,,9,4,7,125,18,107,2,2100400,,,,,,Overdue
B2473,,10,3,9,83,17,66,2,1679800,,,,,,Overdue
B2474,,1,2,5,54,9,45,1,1466000,,,,,,Overdue
B2475,,1,3,5,49,8,41,1,1430100,,,,,,Overdue
B2476,,1,10,7,61,15,46,1,1470400,,,,,,Overdue
B2477,,2,1,6,54,9,45,1,1465000,,,,,,Overdue
B2478,,2,5,6,59,11,48,1,1501100,,,,,,Overdue
B2479,R2479,2,6,8,92,13,79,0,1795500,1.0,697.0,17:17,716.0,17:36,Complete
B2480,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2481,,3,5,7,50,10,40,1,1419200,,,,,,Overdue
B2482,R2482,5,2,6,61,11,50,1,1521100,13.0,700.0,17:20,713.0,17:33,Complete
B2483,,6,7,6,77,15,62,1,1641300,,,,,,Overdue
B2484,,8,1,6,83,14,69,1,1707400,,,,,,Overdue
B2485,,8,4,5,76,13,63,1,1642200,,,,,,Overdue
B2486,,9,4,7,125,17,108,2,2100400,,,,,,Overdue
B2487,,10,3,9,83,17,66,2,1679800,,,,,,Overdue
B2488,,1,2,5,54,9,45,1,1466000,,,,,,Overdue
B2489,,1,9,7,113,18,95,2,1974700,,,,,,Overdue
B2490,R2490,2,1,6,54,9,45,0,1455000,12.0,698.0,17:18,713.0,17:33,Complete
B2491,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2492,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2493,,3,5,7,50,10,40,1,1419200,,,,,,Overdue
B2494,,3,10,10,83,17,66,2,1678800,,,,,,Overdue
B2495,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2496,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2497,,5,10,4,38,12,26,1,1278300,,,,,,Overdue
B2498,,6,3,5,81,12,69,1,1708600,,,,,,Overdue
B2499,,8,4,5,76,14,62,1,1642200,,,,,,Overdue
B2500,,10,3,9,83,17,66,2,1679800,,,,,,Overdue
B2501,,10,4,5,66,14,52,1,1533900,,,,,,Overdue
B2502,,10,5,4,38,12,26,1,1278300,,,,,,Overdue
B2503,,1,2,5,54,9,45,1,1466000,,,,,,Overdue
B2504,,1,5,6,27,9,18,1,1190900,,,,,,Overdue
B2505,R2505,2,4,6,54,8,46,1,1479700,16.0,701.0,17:21,712.0,17:32,Complete
B2506,R2506,2,6,8,92,13,79,1,1805500,14.0,702.0,17:22,718.0,17:38,Complete
B2507,,3,1,6,51,8,43,1,1449100,,,,,,Overdue
B2508,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2509,R2509,3,5,7,50,10,40,0,1409200,6.0,699.0,17:19,715.0,17:35,Complete
B2510,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2511,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2512,,7,4,5,57,9,48,1,1497500,,,,,,Overdue
B2513,,1,2,5,54,9,45,1,1466000,,,,,,Overdue
B2514,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2515,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2516,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
