batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B55,R55,8,2,6,181,08:41,187,08:47,28,12,16,1,1287100,13.0,169.0,08:29,182.0,08:42,Complete
B56,R56,3,4,5,179,08:39,184,08:44,45,9,36,1,1487400,34.0,171.0,08:31,181.0,08:41,Complete
B57,R57,7,4,5,180,08:40,185,08:45,57,9,48,0,1505500,23.0,171.0,08:31,181.0,08:41,Complete
B58,R58,4,9,6,190,08:50,196,08:56,124,18,106,0,2089400,5.0,172.0,08:32,190.0,08:50,Complete
B59,R59,6,2,6,187,08:47,193,08:53,92,13,79,0,1815500,6.0,174.0,08:34,193.0,08:53,Complete
B60,R60,8,3,6,186,08:46,192,08:52,57,12,45,0,1470100,8.0,174.0,08:34,187.0,08:47,Complete
B61,R61,9,1,8,194,08:54,202,09:02,114,18,96,0,1981700,0.0,176.0,08:36,195.0,08:55,Complete
B62,R62,6,1,5,186,08:46,191,08:51,23,9,14,0,1160600,14.0,177.0,08:37,187.0,08:47,Complete
B63,R63,2,4,5,186,08:46,191,08:51,54,8,46,0,1488700,19.0,178.0,08:38,187.0,08:47,Complete
B64,R64,9,7,5,192,08:52,197,08:57,95,14,81,0,1838700,3.0,178.0,08:38,193.0,08:53,Complete
B65,R65,10,9,8,199,08:59,207,09:07,171,21,150,0,2521300,10.0,178.0,08:38,200.0,09:00,Complete
B66,R66,8,9,5,187,08:47,192,08:52,59,8,51,0,1533900,37.0,179.0,08:39,188.0,08:48,Complete
B67,R67,3,4,5,189,08:49,194,08:54,45,9,36,1,1487400,24.0,181.0,08:41,191.0,08:51,Complete
B68,R68,8,7,5,189,08:49,194,08:54,30,9,21,1,1333500,9.0,180.0,08:40,190.0,08:50,Complete
B69,R69,8,1,6,195,08:55,201,09:01,83,14,69,1,1815400,28.0,186.0,08:46,201.0,09:01,Complete
B70,R70,8,4,6,196,08:56,202,09:02,76,14,62,1,1749200,17.0,182.0,08:42,199.0,08:59,Complete
B71,R71,5,3,6,194,08:54,200,09:00,50,10,40,1,1528200,20.0,186.0,08:46,200.0,09:00,Complete
B72,R72,6,1,5,193,08:53,198,08:58,23,9,14,1,1260600,25.0,187.0,08:47,197.0,08:57,Complete
B73,R73,7,4,5,193,08:53,198,08:58,57,9,48,1,1605500,2.0,184.0,08:44,197.0,08:57,Complete
B74,R74,5,3,6,195,08:55,201,09:01,50,10,40,1,1528200,23.0,190.0,08:50,201.0,09:01,Complete
B75,R75,6,1,5,194,08:54,199,08:59,23,9,14,1,1260600,7.0,189.0,08:49,199.0,08:59,Complete
B76,R76,8,4,6,198,08:58,204,09:04,76,13,63,1,1749200,17.0,185.0,08:45,202.0,09:02,Complete
B77,R77,5,3,6,197,08:57,203,09:03,50,10,40,1,1528200,20.0,189.0,08:49,203.0,09:03,Complete
B78,R78,7,4,5,196,08:56,201,09:01,57,9,48,1,1605500,2.0,187.0,08:47,200.0,09:00,Complete
B79,R79,6,1,5,197,08:57,202,09:02,23,9,14,1,1260600,34.0,191.0,08:51,201.0,09:01,Complete
B80,R80,8,1,6,202,09:02,208,09:08,83,14,69,1,1815400,15.0,188.0,08:48,203.0,09:03,Complete
B81,R81,2,1,5,199,08:59,204,09:04,54,9,45,1,1574000,13.0,190.0,08:50,200.0,09:00,Complete
B82,R82,3,9,5,207,09:07,212,09:12,122,17,105,1,2177100,4.0,190.0,08:50,208.0,09:08,Complete
B83,R83,8,4,6,204,09:04,210,09:10,76,14,62,1,1749200,27.0,190.0,08:50,204.0,09:04,Complete
B84,R84,6,1,5,201,09:01,206,09:06,23,9,14,0,1160600,21.0,192.0,08:52,205.0,09:05,Complete
B85,R85,7,4,5,202,09:02,207,09:07,57,9,48,0,1505500,3.0,196.0,08:56,206.0,09:06,Complete
B86,R86,6,1,5,203,09:03,208,09:08,23,9,14,0,1160600,21.0,195.0,08:55,208.0,09:08,Complete
B87,R87,9,7,5,210,09:10,215,09:15,95,14,81,0,1838700,18.0,196.0,08:56,211.0,09:11,Complete
B88,R88,9,6,7,219,09:19,226,09:26,147,22,125,0,2270100,1.0,197.0,08:57,220.0,09:20,Complete
B89,R89,5,4,5,209,09:09,214,09:14,33,8,25,1,1371400,16.0,201.0,09:01,210.0,09:10,Complete
B90,R90,5,7,6,213,09:13,219,09:19,63,12,51,1,1637500,24.0,206.0,09:06,219.0,09:19,Complete
B91,R91,6,7,6,216,09:16,222,09:22,77,14,63,1,1749300,19.0,207.0,09:07,222.0,09:22,Complete
B92,R92,9,1,8,227,09:27,235,09:35,114,18,96,1,2081700,4.0,211.0,09:11,235.0,09:35,Complete
B93,R93,2,5,8,220,09:20,228,09:28,59,10,49,1,1607100,6.0,210.0,09:10,227.0,09:27,Complete
B94,R94,3,4,5,220,09:20,225,09:25,45,9,36,0,1387400,23.0,211.0,09:11,221.0,09:21,Complete
B95,R95,7,1,5,220,09:20,225,09:25,56,9,47,0,1496500,18.0,214.0,09:14,224.0,09:24,Complete
B96,R96,2,4,5,220,09:20,225,09:25,54,8,46,0,1488700,11.0,212.0,09:12,221.0,09:21,Complete
B97,R97,8,2,6,224,09:24,230,09:30,28,12,16,0,1187100,5.0,212.0,09:12,225.0,09:25,Complete
B98,R98,9,6,7,238,09:38,245,09:45,147,22,125,0,2270100,4.0,216.0,09:16,245.0,09:45,Complete
B99,R99,3,4,5,226,09:26,231,09:31,45,9,36,0,1387400,20.0,217.0,09:17,231.0,09:31,Complete
B100,R100,3,4,5,230,09:30,235,09:35,45,9,36,1,1487400,8.0,221.0,09:21,231.0,09:31,Complete
B101,R101,2,4,5,231,09:31,236,09:36,54,8,46,1,1588700,36.0,226.0,09:26,235.0,09:35,Complete
B102,R102,7,4,5,232,09:32,237,09:37,57,9,48,1,1605500,9.0,223.0,09:23,233.0,09:33,Complete
B103,R103,5,3,6,234,09:34,240,09:40,50,10,40,1,1528200,2.0,226.0,09:26,237.0,09:37,Complete
B104,R104,6,1,5,234,09:34,239,09:39,23,9,14,1,1260600,1.0,225.0,09:25,235.0,09:35,Complete
B105,R105,3,9,7,245,09:45,252,09:52,122,17,105,1,2175100,0.0,228.0,09:28,246.0,09:46,Complete
B106,R106,5,7,6,243,09:43,249,09:49,63,12,51,0,1537500,6.0,231.0,09:31,244.0,09:44,Complete
B107,R107,6,1,5,241,09:41,246,09:46,23,9,14,0,1160600,11.0,232.0,09:32,242.0,09:42,Complete
B108,R108,2,4,5,243,09:43,248,09:48,54,8,46,0,1488700,5.0,235.0,09:35,244.0,09:44,Complete
B109,R109,7,1,5,244,09:44,249,09:49,56,9,47,0,1496500,19.0,235.0,09:35,245.0,09:45,Complete
B110,R110,4,2,5,244,09:44,249,09:49,56,8,48,0,1508700,3.0,236.0,09:36,245.0,09:45,Complete
B111,R111,9,6,7,259,09:59,266,10:06,147,22,125,0,2270100,10.0,237.0,09:37,260.0,10:00,Complete
B112,R112,10,9,6,259,09:59,265,10:05,171,21,150,0,2523300,12.0,238.0,09:38,263.0,10:03,Complete
B113,R113,10,9,6,261,10:01,267,10:07,171,21,150,1,2623300,39.0,240.0,09:40,262.0,10:02,Complete
B114,R114,2,1,5,256,09:56,261,10:01,54,9,45,1,1574000,3.0,248.0,09:48,258.0,09:58,Complete
B115,R115,6,1,5,258,09:58,263,10:03,23,9,14,1,1260600,17.0,249.0,09:49,259.0,09:59,Complete
B116,R116,9,7,6,265,10:05,271,10:11,95,14,81,0,1837700,0.0,251.0,09:51,266.0,10:06,Complete
B117,R117,3,4,5,263,10:03,268,10:08,45,9,36,0,1387400,2.0,254.0,09:54,264.0,10:04,Complete
B118,R118,6,3,5,268,10:08,273,10:13,81,12,69,0,1716600,4.0,256.0,09:56,269.0,10:09,Complete
B119,R119,5,2,5,268,10:08,273,10:13,61,11,50,0,1530100,16.0,257.0,09:57,271.0,10:11,Complete
B120,R120,6,7,6,272,10:12,278,10:18,77,15,62,0,1649300,8.0,257.0,09:57,276.0,10:16,Complete
B121,R121,6,1,5,267,10:07,272,10:12,23,9,14,0,1160600,20.0,258.0,09:58,271.0,10:11,Complete
B122,R122,1,8,5,274,10:14,279,10:19,82,14,68,1,1806400,1.0,260.0,10:00,275.0,10:15,Complete
B123,R123,4,9,6,278,10:18,284,10:24,124,18,106,1,2189400,5.0,260.0,10:00,278.0,10:18,Complete
B124,,3,4,5,270,10:10,275,10:15,45,9,36,1,1487400,,,,,,Overdue
B125,R125,6,1,5,270,10:10,275,10:15,23,9,14,1,1260600,10.0,263.0,10:03,273.0,10:13,Complete
B126,R126,6,7,6,276,10:16,282,10:22,77,15,62,1,1749300,28.0,267.0,10:07,282.0,10:22,Complete
B127,R127,2,5,6,272,10:12,278,10:18,59,10,49,1,1609100,7.0,267.0,10:07,278.0,10:18,Complete
B128,R128,8,4,6,276,10:16,282,10:22,76,14,62,1,1749200,22.0,266.0,10:06,280.0,10:20,Complete
B129,R129,2,5,6,274,10:14,280,10:20,59,10,49,1,1609100,11.0,267.0,10:07,278.0,10:18,Complete
B130,R130,2,5,6,276,10:16,282,10:22,59,10,49,1,1609100,13.0,267.0,10:07,281.0,10:21,Complete
B131,R131,4,2,5,275,10:15,280,10:20,56,8,48,1,1608700,27.0,267.0,10:07,279.0,10:19,Complete
B132,R132,7,4,5,278,10:18,283,10:23,57,9,48,1,1605500,24.0,269.0,10:09,279.0,10:19,Complete
B133,R133,4,2,5,278,10:18,283,10:23,56,8,48,1,1608700,27.0,270.0,10:10,282.0,10:22,Complete
B134,R134,7,9,5,284,10:24,289,10:29,93,14,79,1,1918700,0.0,270.0,10:10,285.0,10:25,Complete
B135,R135,1,7,4,280,10:20,284,10:24,55,9,46,0,1487500,17.0,271.0,10:11,281.0,10:21,Complete
B136,R136,2,9,5,287,10:27,292,10:32,107,16,91,0,1933400,16.0,274.0,10:14,291.0,10:31,Complete
B137,R137,4,2,5,279,10:19,284,10:24,56,8,48,0,1508700,23.0,271.0,10:11,284.0,10:24,Complete
B138,R138,7,6,6,286,10:26,292,10:32,78,15,63,0,1659300,6.0,271.0,10:11,289.0,10:29,Complete
B139,R139,3,1,5,280,10:20,285,10:25,51,8,43,0,1458100,18.0,272.0,10:12,281.0,10:21,Complete
B140,R140,4,3,5,281,10:21,286,10:26,45,9,36,0,1387400,21.0,272.0,10:12,286.0,10:26,Complete
B141,R141,5,9,6,291,10:31,297,10:37,138,19,119,0,2213000,14.0,272.0,10:12,292.0,10:32,Complete
B142,R142,4,10,5,287,10:27,292,10:32,68,14,54,0,1561900,36.0,273.0,10:13,291.0,10:31,Complete
B143,R143,4,3,5,283,10:23,288,10:28,45,9,36,0,1387400,26.0,274.0,10:14,284.0,10:24,Complete
B144,R144,4,7,5,283,10:23,288,10:28,57,9,48,0,1505500,2.0,274.0,10:14,284.0,10:24,Complete
B145,R145,6,8,6,293,10:33,299,10:39,114,19,95,0,1977000,15.0,274.0,10:14,294.0,10:34,Complete
B146,R146,3,9,5,292,10:32,297,10:37,122,17,105,0,2077100,4.0,275.0,10:15,293.0,10:33,Complete
B147,R147,4,2,5,283,10:23,288,10:28,56,8,48,0,1508700,23.0,275.0,10:15,287.0,10:27,Complete
B148,R148,4,9,6,292,10:32,298,10:38,124,17,107,0,2089400,9.0,275.0,10:15,297.0,10:37,Complete
B149,R149,5,3,6,285,10:25,291,10:31,50,10,40,0,1428200,19.0,275.0,10:15,286.0,10:26,Complete
B150,R150,8,6,6,294,10:34,300,10:40,110,19,91,0,1937000,12.0,275.0,10:15,295.0,10:35,Complete
B151,R151,10,3,9,292,10:32,301,10:41,83,17,66,0,1677800,3.0,275.0,10:15,293.0,10:33,Complete
B152,R152,3,4,5,285,10:25,290,10:30,45,9,36,0,1387400,25.0,276.0,10:16,286.0,10:26,Complete
B153,R153,4,3,5,285,10:25,290,10:30,45,9,36,0,1387400,21.0,276.0,10:16,289.0,10:29,Complete
B154,R154,5,3,6,287,10:27,293,10:33,50,10,40,1,1528200,11.0,281.0,10:21,292.0,10:32,Complete
B155,R155,5,3,6,288,10:28,294,10:34,50,10,40,0,1428200,13.0,278.0,10:18,292.0,10:32,Complete
B156,R156,4,3,5,288,10:28,293,10:33,45,9,36,1,1487400,22.0,283.0,10:23,293.0,10:33,Complete
B157,R157,4,9,6,296,10:36,302,10:42,124,17,107,0,2089400,9.0,279.0,10:19,300.0,10:40,Complete
B158,R158,5,1,6,290,10:30,296,10:36,27,10,17,1,1298900,7.0,281.0,10:21,292.0,10:32,Complete
B159,R159,2,5,6,296,10:36,302,10:42,59,11,48,1,1609100,29.0,287.0,10:27,298.0,10:38,Complete
B160,R160,3,1,5,294,10:34,299,10:39,51,8,43,1,1558100,19.0,289.0,10:29,298.0,10:38,Complete
B161,R161,6,7,6,300,10:40,306,10:46,77,14,63,1,1749300,18.0,291.0,10:31,306.0,10:46,Complete
B162,R162,7,4,5,296,10:36,301,10:41,57,9,48,1,1605500,2.0,287.0,10:27,300.0,10:40,Complete
B163,R163,10,3,9,304,10:44,313,10:53,83,17,66,1,1777800,36.0,294.0,10:34,312.0,10:52,Complete
B164,R164,5,2,5,300,10:40,305,10:45,61,11,50,1,1630100,31.0,289.0,10:29,300.0,10:40,Complete
B165,R165,6,1,5,298,10:38,303,10:43,23,9,14,1,1260600,10.0,289.0,10:29,299.0,10:39,Complete
B166,R166,6,9,7,311,10:51,318,10:58,146,22,124,1,2360100,6.0,292.0,10:32,315.0,10:55,Complete
B167,R167,8,1,6,303,10:43,309,10:49,83,14,69,1,1815400,1.0,289.0,10:29,309.0,10:49,Complete
B168,R168,7,4,5,299,10:39,304,10:44,57,9,48,1,1605500,2.0,290.0,10:30,303.0,10:43,Complete
B169,R169,3,4,5,301,10:41,306,10:46,45,9,36,0,1387400,26.0,292.0,10:32,302.0,10:42,Complete
B170,R170,4,2,5,302,10:42,307,10:47,56,8,48,0,1508700,25.0,294.0,10:34,303.0,10:43,Complete
B171,R171,6,7,6,308,10:48,314,10:54,77,14,63,0,1649300,12.0,298.0,10:38,313.0,10:53,Complete
B172,R172,9,4,6,312,10:52,318,10:58,125,17,108,0,2099400,0.0,295.0,10:35,313.0,10:53,Complete
B173,R173,10,3,9,312,10:52,321,11:01,83,17,66,0,1677800,24.0,295.0,10:35,313.0,10:53,Complete
B174,,5,1,6,306,10:46,312,10:52,27,10,17,1,1298900,,,,,,Overdue
B175,R175,1,6,4,306,10:46,310,10:50,23,9,14,0,1161600,20.0,297.0,10:37,307.0,10:47,Complete
B176,R176,2,1,5,307,10:47,312,10:52,54,9,45,0,1474000,23.0,298.0,10:38,308.0,10:48,Complete
B177,R177,7,1,5,307,10:47,312,10:52,56,9,47,0,1496500,1.0,299.0,10:39,312.0,10:52,Complete
B178,R178,5,9,6,319,10:59,325,11:05,138,19,119,1,2313000,29.0,301.0,10:41,321.0,11:01,Complete
B179,R179,3,1,5,309,10:49,314,10:54,51,8,43,1,1558100,11.0,301.0,10:41,310.0,10:50,Complete
B180,,5,9,6,320,11:00,326,11:06,138,19,119,2,2413000,,,,,,Overdue
B181,R181,3,1,5,310,10:50,315,10:55,51,8,43,1,1558100,13.0,302.0,10:42,311.0,10:51,Complete
B182,R182,3,4,5,311,10:51,316,10:56,45,9,36,1,1487400,21.0,302.0,10:42,312.0,10:52,Complete
B183,R183,8,3,5,316,10:56,321,11:01,57,12,45,1,1571100,37.0,306.0,10:46,319.0,10:59,Complete
B184,R184,4,2,5,314,10:54,319,10:59,56,8,48,1,1608700,7.0,306.0,10:46,315.0,10:55,Complete
B185,R185,8,4,6,320,11:00,326,11:06,76,13,63,1,1749200,16.0,307.0,10:47,321.0,11:01,Complete
B186,R186,4,3,5,317,10:57,322,11:02,45,9,36,1,1487400,19.0,308.0,10:48,318.0,10:58,Complete
B187,R187,9,3,4,325,11:05,329,11:09,121,17,104,1,2168100,9.0,308.0,10:48,326.0,11:06,Complete
B188,R188,7,4,5,318,10:58,323,11:03,57,9,48,1,1605500,8.0,309.0,10:49,319.0,10:59,Complete
B189,R189,9,4,6,326,11:06,332,11:12,125,17,108,1,2199400,5.0,309.0,10:49,330.0,11:10,Complete
B190,R190,2,4,4,318,10:58,322,11:02,54,8,46,1,1589700,25.0,310.0,10:50,319.0,10:59,Complete
B191,R191,5,3,6,325,11:05,331,11:11,50,10,40,0,1428200,30.0,315.0,10:55,326.0,11:06,Complete
B192,R192,9,1,7,333,11:13,340,11:20,114,18,96,0,1982700,14.0,315.0,10:55,334.0,11:14,Complete
B193,R193,3,5,6,327,11:07,333,11:13,50,10,40,0,1428200,24.0,317.0,10:57,328.0,11:08,Complete
B194,R194,3,6,5,330,11:10,335,11:15,83,12,71,0,1736600,3.0,318.0,10:58,331.0,11:11,Complete
B195,R195,10,3,9,335,11:15,344,11:24,83,17,66,0,1677800,10.0,318.0,10:58,347.0,11:27,Complete
B196,R196,2,1,5,328,11:08,333,11:13,54,9,45,0,1474000,31.0,319.0,10:59,329.0,11:09,Complete
B197,R197,5,9,7,339,11:19,346,11:26,138,19,119,1,2312000,0.0,326.0,11:06,346.0,11:26,Complete
B198,,10,9,6,342,11:22,348,11:28,171,21,150,2,2723300,,,,,,Overdue
B199,R199,7,4,4,332,11:12,336,11:16,57,9,48,1,1606500,17.0,323.0,11:03,333.0,11:13,Complete
B200,R200,4,2,5,332,11:12,337,11:17,56,8,48,1,1608700,16.0,324.0,11:04,336.0,11:16,Complete
B201,R201,6,7,6,338,11:18,344,11:24,77,14,63,1,1749300,20.0,324.0,11:04,342.0,11:22,Complete
B202,R202,8,6,5,343,11:23,348,11:28,110,19,91,1,2038000,15.0,324.0,11:04,347.0,11:27,Complete
B203,R203,4,7,5,334,11:14,339,11:19,57,9,48,1,1605500,25.0,325.0,11:05,338.0,11:18,Complete
B204,R204,4,9,6,342,11:22,348,11:28,124,17,107,1,2189400,2.0,325.0,11:05,346.0,11:26,Complete
B205,R205,2,4,5,334,11:14,339,11:19,54,8,46,1,1588700,7.0,326.0,11:06,335.0,11:15,Complete
B206,R206,4,2,5,334,11:14,339,11:19,56,8,48,1,1608700,16.0,327.0,11:07,339.0,11:19,Complete
B207,R207,6,7,6,340,11:20,346,11:26,77,14,63,1,1749300,20.0,327.0,11:07,345.0,11:25,Complete
B208,R208,4,2,5,335,11:15,340,11:20,56,8,48,1,1608700,21.0,327.0,11:07,336.0,11:16,Complete
B209,R209,4,7,5,336,11:16,341,11:21,57,9,48,1,1605500,25.0,328.0,11:08,341.0,11:21,Complete
B210,R210,4,9,6,344,11:24,350,11:30,124,17,107,1,2189400,2.0,328.0,11:08,349.0,11:29,Complete
B211,R211,6,7,6,342,11:22,348,11:28,77,15,62,1,1749300,8.0,329.0,11:09,344.0,11:24,Complete
B212,R212,7,4,4,336,11:16,340,11:20,57,9,48,1,1606500,18.0,327.0,11:07,337.0,11:17,Complete
B213,R213,9,4,6,344,11:24,350,11:30,125,17,108,1,2199400,6.0,327.0,11:07,345.0,11:25,Complete
B214,R214,4,9,6,346,11:26,352,11:32,124,18,106,1,2189400,5.0,333.0,11:13,351.0,11:31,Complete
B215,R215,9,5,5,347,11:27,352,11:32,139,19,120,1,2324000,4.0,328.0,11:08,348.0,11:28,Complete
B216,R216,3,1,5,337,11:17,342,11:22,51,8,43,1,1558100,9.0,329.0,11:09,338.0,11:18,Complete
B217,R217,6,1,5,341,11:21,346,11:26,23,9,14,0,1160600,1.0,332.0,11:12,342.0,11:22,Complete
B218,R218,7,9,6,346,11:26,352,11:32,93,14,79,0,1817700,12.0,332.0,11:12,347.0,11:27,Complete
B219,R219,6,7,6,354,11:34,360,11:40,77,15,62,1,1749300,3.0,340.0,11:20,355.0,11:35,Complete
B220,R220,7,1,5,349,11:29,354,11:34,56,9,47,1,1596500,25.0,344.0,11:24,354.0,11:34,Complete
B221,R221,6,7,6,356,11:36,362,11:42,77,15,62,1,1749300,11.0,347.0,11:27,362.0,11:42,Complete
B222,R222,6,7,6,358,11:38,364,11:44,77,15,62,1,1749300,9.0,348.0,11:28,363.0,11:43,Complete
B223,R223,4,7,5,355,11:35,360,11:40,57,9,48,1,1605500,26.0,346.0,11:26,356.0,11:36,Complete
B224,R224,10,3,8,364,11:44,372,11:52,83,17,66,1,1778800,31.0,353.0,11:33,371.0,11:51,Complete
B225,R225,5,9,7,368,11:48,375,11:55,138,19,119,1,2312000,4.0,351.0,11:31,371.0,11:51,Complete
B226,R226,7,1,5,358,11:38,363,11:43,56,9,47,1,1596500,8.0,349.0,11:29,359.0,11:39,Complete
B227,R227,4,7,5,361,11:41,366,11:46,57,9,48,0,1505500,13.0,352.0,11:32,362.0,11:42,Complete
B228,R228,9,3,5,369,11:49,374,11:54,121,17,104,0,2067100,0.0,352.0,11:32,381.0,12:01,Complete
B229,R229,4,7,5,362,11:42,367,11:47,57,9,48,0,1505500,14.0,353.0,11:33,363.0,11:43,Complete
