horizon_start,horizon_end,request_id,batch_id,planned_visit,drop_penalty
120,150,R160,B160,True,1658600
120,150,R161,B161,True,1485100
120,150,R162,B162,True,1696600
120,150,R163,B163,True,1476500
120,150,R164,B164,True,1454000
120,150,R165,B165,True,1367400
120,150,R166,B166,True,1140600
120,150,R167,B167,True,1629300
120,150,R168,B168,True,2240100
120,150,R169,B169,True,2250100
140,170,R106,B106,False,1188100
140,170,R121,B121,True,1478700
140,170,R122,B122,True,1377400
140,170,R123,B123,False,1460100
140,170,R124,B124,True,1971700
140,170,R125,B125,True,2260100
140,170,R126,B126,True,1478700
140,170,R127,B127,False,1418200
140,170,R128,B128,False,1706600
140,170,R129,B129,False,1403900
140,170,R130,B130,True,1486500
140,170,R131,B131,True,2260100
140,170,R132,B132,True,1960700
140,170,R133,B133,True,1417200
140,170,R134,B134,False,1639200
140,170,R135,B135,False,1668600
140,170,R136,B136,False,1150600
140,170,R137,B137,True,1377400
140,170,R138,B138,True,1462100
140,170,R139,B139,False,1418200
140,170,R140,B140,False,1639300
140,170,R141,B141,True,1486500
140,170,R142,B142,True,1495500
140,170,R143,B143,True,1478700
140,170,R144,B144,True,1418200
140,170,R145,B145,False,1150600
140,170,R146,B146,False,1706600
140,170,R147,B147,True,1495500
140,170,R148,B148,True,1177100
140,170,R149,B149,True,1478700
140,170,R150,B150,True,1448100
140,170,R151,B151,True,1462100
140,170,R152,B152,True,1418200
140,170,R153,B153,False,1150600
140,170,R154,B154,True,1639200
140,170,R155,B155,True,1150600
140,170,R156,B156,True,1478700
140,170,R157,B157,True,1448100
140,170,R158,B158,True,1418200
140,170,R159,B159,True,1150600
140,170,R160,B160,True,1668600
140,170,R161,B161,True,1495100
140,170,R162,B162,True,1706600
140,170,R163,B163,True,1486500
140,170,R164,B164,True,1464000
140,170,R165,B165,True,1377400
140,170,R166,B166,True,1150600
140,170,R167,B167,True,1639300
140,170,R168,B168,True,2250100
140,170,R169,B169,True,2260100
140,170,R170,B170,True,1408200
140,170,R171,B171,True,1140600
140,170,R172,B172,True,1795500
140,170,R173,B173,True,1696600
140,170,R174,B174,True,1450100
140,170,R175,B175,True,1367400
140,170,R176,B176,True,1695400
140,170,R177,B177,True,1367400
140,170,R178,B178,True,1452100
140,170,R179,B179,True,1408200
140,170,R180,B180,True,1695400
140,170,R181,B181,True,1454000
140,170,R182,B182,True,1367400
140,170,R183,B183,True,1629300
140,170,R184,B184,True,1485500
140,170,R185,B185,True,1961700
140,170,R186,B186,True,1140600
140,170,R187,B187,True,1629300
140,170,R188,B188,True,1476500
140,170,R189,B189,True,1639300
140,170,R190,B190,True,1629200
140,170,R191,B191,True,1407200
140,170,R192,B192,True,1140600
140,170,R193,B193,True,1696600
140,170,R194,B194,True,1629300
140,170,R195,B195,True,1476500
140,170,R196,B196,True,1167100
140,170,R197,B197,True,1408200
140,170,R198,B198,True,1485500
140,170,R199,B199,True,1695400
140,170,R200,B200,True,2501300
140,170,R201,B201,True,1438100
140,170,R202,B202,True,2057100
140,170,R203,B203,True,1669700
140,170,R204,B204,True,1485500
140,170,R205,B205,True,1454000
140,170,R206,B206,True,1367400
140,170,R207,B207,False,1140600
140,170,R208,B208,True,1367400
140,170,R209,B209,True,1408200
140,170,R210,B210,True,1140600
140,170,R211,B211,True,1696600
140,170,R212,B212,True,1629300
140,170,R213,B213,True,1476500
140,170,R214,B214,True,1818700
140,170,R215,B215,True,1438100
140,170,R216,B216,True,1367400
140,170,R217,B217,True,1140600
140,170,R218,B218,True,1485500
140,170,R219,B219,True,1658600
140,170,R220,B220,True,1454000
140,170,R221,B221,True,1408200
140,170,R222,B222,True,1695400
140,170,R223,B223,True,1629200
140,170,R224,B224,True,1818700
140,170,R225,B225,True,1367400
140,170,R226,B226,True,1408200
140,170,R227,B227,True,1696600
140,170,R228,B228,True,1476500
140,170,R229,B229,True,1438100
140,170,R230,B230,True,1509100
140,170,R231,B231,True,1393900
140,170,R232,B232,True,1629300
140,170,R233,B233,True,1140600
140,170,R234,B234,True,1629200
140,170,R235,B235,True,1658600
140,170,R236,B236,True,1454000
140,170,R237,B237,True,1408200
140,170,R238,B238,True,1140600
140,170,R239,B239,True,1476500
140,170,R240,B240,True,1485500
140,170,R241,B241,True,2057100
140,170,R242,B242,True,1408200
140,170,R243,B243,True,1140600
140,170,R244,B244,True,2240100
140,170,R245,B245,True,2057100
140,170,R246,B246,True,1140600
140,170,R247,B247,True,1485500
140,170,R248,B248,True,1468700
140,170,R249,B249,True,1367400
140,170,R250,B250,True,1140600
140,170,R251,B251,True,1485500
160,190,R134,B134,False,1649200
160,190,R135,B135,False,1678600
160,190,R139,B139,False,1428200
160,190,R140,B140,False,1649300
160,190,R146,B146,False,1716600
160,190,R153,B153,False,1160600
160,190,R207,B207,False,1150600
160,190,R208,B208,True,1377400
160,190,R209,B209,True,1418200
160,190,R210,B210,False,1150600
160,190,R211,B211,False,1706600
160,190,R212,B212,False,1639300
160,190,R213,B213,True,1486500
160,190,R214,B214,True,1828700
160,190,R215,B215,True,1448100
160,190,R216,B216,False,1377400
160,190,R217,B217,False,1150600
160,190,R218,B218,True,1495500
160,190,R219,B219,True,1668600
160,190,R220,B220,True,1464000
160,190,R221,B221,False,1418200
160,190,R222,B222,True,1705400
160,190,R223,B223,False,1639200
160,190,R224,B224,True,1828700
160,190,R225,B225,True,1377400
160,190,R226,B226,False,1418200
160,190,R227,B227,False,1706600
160,190,R228,B228,True,1486500
160,190,R229,B229,True,1448100
160,190,R230,B230,False,1519100
160,190,R231,B231,False,1403900
160,190,R232,B232,False,1639300
160,190,R233,B233,False,1150600
160,190,R234,B234,True,1639200
160,190,R235,B235,False,1668600
160,190,R236,B236,True,1464000
160,190,R237,B237,True,1418200
160,190,R238,B238,False,1150600
160,190,R239,B239,True,1486500
160,190,R240,B240,True,1495500
160,190,R241,B241,True,2067100
160,190,R242,B242,True,1418200
160,190,R243,B243,True,1150600
160,190,R244,B244,True,2250100
160,190,R245,B245,True,2067100
160,190,R246,B246,True,1150600
160,190,R247,B247,True,1495500
160,190,R248,B248,True,1478700
160,190,R249,B249,True,1377400
160,190,R250,B250,True,1150600
160,190,R251,B251,True,1495500
160,190,R252,B252,True,2057100
160,190,R253,B253,True,1140600
160,190,R254,B254,True,2250100
160,190,R255,B255,True,1950700
160,190,R256,B256,True,2057100
160,190,R257,B257,True,1795500
160,190,R258,B258,True,1516500
160,190,R259,B259,True,1438100
160,190,R260,B260,True,1367400
160,190,R261,B261,True,2240100
160,190,R262,B262,True,1476500
160,190,R263,B263,True,1454000
160,190,R264,B264,True,1367400
160,190,R265,B265,True,1509100
160,190,R266,B266,True,1140600
160,190,R267,B267,True,1629200
160,190,R268,B268,True,1468700
160,190,R269,B269,True,1367400
160,190,R270,B270,True,1658600
160,190,R271,B271,True,2501300
160,190,R272,B272,True,1468700
160,190,R273,B273,True,1438100
160,190,R274,B274,True,1367400
160,190,R275,B275,True,1408200
160,190,R276,B276,True,1658600
160,190,R277,B277,True,1367400
160,190,R278,B278,True,1408200
160,190,R279,B279,True,1629300
160,190,R280,B280,True,1485500
160,190,R281,B281,True,2250100
160,190,R282,B282,True,1367400
160,190,R283,B283,True,1408200
160,190,R284,B284,True,1696600
160,190,R285,B285,True,1393900
160,190,R286,B286,True,1629200
160,190,R287,B287,True,1393900
160,190,R288,B288,True,1438100
160,190,R289,B289,True,1509100
160,190,R290,B290,True,1140600
160,190,R291,B291,True,1818700
160,190,R292,B292,True,2501300
160,190,R293,B293,True,1454000
160,190,R294,B294,True,2057100
160,190,R295-1,B295-1,True,1140600
160,190,R295-2,B295-2,True,1140600
160,190,R296,B296,True,1629300
160,190,R297,B297,True,1468700
160,190,R298,B298,True,1367400
160,190,R299,B299,True,1452100
160,190,R300,B300,True,1140600
160,190,R301,B301,True,1795500
160,190,R302,B302,True,1961700
160,190,R303,B303,True,1518500
160,190,R304,B304,True,1696600
160,190,R305,B305,True,1367400
160,190,R306,B306,True,1818700
160,190,R307,B307,True,1438100
160,190,R308,B308,True,2057100
160,190,R309,B309,True,1696600
160,190,R310,B310,True,1167100
160,190,R311,B311,True,1468700
160,190,R312,B312,True,1407200
160,190,R313,B313,True,1696600
160,190,R314,B314,True,1695400
160,190,R315,B315,True,1408200
160,190,R316,B316,True,1140600
180,210,R212,B212,False,1649300
180,210,R223,B223,False,1649200
180,210,R227,B227,False,1716600
180,210,R230,B230,False,1529100
180,210,R232,B232,False,1649300
180,210,R235,B235,False,1678600
180,210,R238,B238,False,1160600
180,210,R282,B282,False,1377400
180,210,R283,B283,False,1418200
180,210,R287,B287,True,1403900
180,210,R288,B288,False,1448100
180,210,R289,B289,False,1519100
180,210,R290,B290,False,1150600
180,210,R291,B291,True,1828700
180,210,R292,B292,False,2511300
180,210,R293,B293,False,1464000
180,210,R294,B294,True,2067100
180,210,R295-1,B295-1,False,1150600
180,210,R295-2,B295-2,False,1150600
180,210,R296,B296,False,1639300
180,210,R297,B297,True,1478700
180,210,R298,B298,False,1377400
180,210,R299,B299,False,1462100
180,210,R300,B300,False,1150600
180,210,R301,B301,False,1805500
180,210,R302,B302,True,1971700
180,210,R303,B303,True,1528500
180,210,R304,B304,False,1706600
180,210,R305,B305,True,1377400
180,210,R306,B306,True,1828700
180,210,R307,B307,True,1448100
180,210,R308,B308,True,2067100
180,210,R309,B309,True,1706600
180,210,R310,B310,True,1177100
180,210,R311,B311,True,1478700
180,210,R312,B312,True,1417200
180,210,R313,B313,True,1706600
180,210,R314,B314,True,1705400
180,210,R315,B315,True,1418200
180,210,R316,B316,True,1150600
180,210,R317,B317,True,1408200
180,210,R318,B318,True,1140600
180,210,R319,B319,True,1629200
180,210,R320,B320,True,1367400
180,210,R321,B321,True,1140600
180,210,R322,B322,True,1393900
180,210,R323,B323,True,1485500
180,210,R324,B324,True,1695400
180,210,R325,B325,True,1950700
180,210,R326,B326,True,1408200
180,210,R327,B327,True,1696600
180,210,R328,B328,True,1629300
180,210,R329,B329,True,1961700
180,210,R330,B330,True,2250100
180,210,R331,B331,True,1438100
180,210,R332,B332,True,1367400
180,210,R333,B333,True,1140600
180,210,R334,B334,True,1696600
180,210,R335,B335,True,1454000
180,210,R336,B336,True,1367400
180,210,R337,B337,True,2057100
180,210,R338,B338,True,1408200
180,210,R339,B339,True,1629200
180,210,R340,B340,True,1468700
180,210,R341,B341,True,1818700
180,210,R342,B342,True,1408200
180,210,R343,B343,True,1393900
180,210,R344,B344,True,1485500
180,210,R345,B345,True,1468700
180,210,R346,B346,True,1367400
180,210,R347,B347,True,1931400
180,210,R348,B348,True,1468700
180,210,R349,B349,True,1367400
180,210,R350,B350,True,1452100
180,210,R351,B351,True,1408200
180,210,R352-1,B352-1,True,1140600
180,210,R352-2,B352-2,True,1140600
180,210,R353,B353,True,1393900
180,210,R354,B354,True,1658600
180,210,R355,B355,True,1468700
180,210,R356,B356,True,1367400
180,210,R357,B357,True,1696600
180,210,R358,B358,True,1695400
180,210,R359,B359,True,1488700
180,210,R360,B360,True,1485500
180,210,R361,B361,True,2240100
180,210,R362,B362,True,1167100
180,210,R363,B363,True,1468700
180,210,R364,B364,True,1367400
180,210,R365,B365,True,1468700
180,210,R366,B366,True,1438100
180,210,R367,B367,True,1367400
180,210,R368,B368,True,1488700
180,210,R369,B369,True,1468700
180,210,R370,B370,True,1517500
180,210,R371,B371,True,1485500
180,210,R372,B372,True,1140600
180,210,R373,B373,True,1167100
180,210,R374,B374,True,1661800
180,210,R375,B375,True,2503300
180,210,R376,B376,True,1468700
180,210,R377,B377,True,1367400
180,210,R378,B378,True,1696600
200,230,R292,B292,False,2521300
200,230,R296,B296,False,1649300
200,230,R299,B299,False,1472100
200,230,R301,B301,False,1815500
200,230,R304,B304,False,1716600
200,230,R347,B347,True,1941400
200,230,R352-1,B352-1,False,1150600
200,230,R353,B353,False,1403900
200,230,R355,B355,False,1478700
200,230,R356,B356,False,1377400
200,230,R357,B357,False,1706600
200,230,R358,B358,False,1705400
200,230,R359,B359,True,1498700
200,230,R360,B360,True,1495500
200,230,R361,B361,True,2250100
200,230,R362,B362,False,1177100
200,230,R363,B363,True,1478700
200,230,R364,B364,False,1377400
200,230,R365,B365,False,1478700
200,230,R366,B366,True,1448100
200,230,R367,B367,False,1377400
200,230,R368,B368,True,1498700
200,230,R369,B369,True,1478700
200,230,R370,B370,True,1527500
200,230,R371,B371,True,1495500
200,230,R372,B372,True,1150600
200,230,R373,B373,True,1177100
200,230,R374,B374,False,1671800
200,230,R375,B375,False,2513300
200,230,R376,B376,True,1478700
200,230,R377,B377,True,1377400
200,230,R378,B378,True,1706600
200,230,R379,B379,True,1454000
200,230,R380,B380,True,1468700
200,230,R381,B381,True,1485500
200,230,R382,B382,True,1696600
200,230,R383,B383,True,1817700
200,230,R384,B384,True,1468700
200,230,R385,B385,True,1367400
200,230,R386,B386,True,1510100
200,230,R387,B387,True,1140600
200,230,R388,B388,True,1468700
200,230,R389,B389,True,1695400
200,230,R390,B390,True,1367400
200,230,R391,B391,True,1696600
200,230,R392,B392,True,1460400
200,230,R393,B393,True,1367400
200,230,R394,B394,True,1485500
200,230,R395,B395,True,1932400
200,230,R396,B396,True,1454000
200,230,R397,B397,True,1488700
200,230,R398,B398,True,1367400
200,230,R399,B399,True,1167100
200,230,R400,B400,True,1517500
200,230,R401,B401,True,1476500
200,230,R402,B402,True,1485500
200,230,R403,B403,True,1140600
200,230,R404,B404,True,2503300
200,230,R405,B405,True,1454000
200,230,R406,B406,True,2069400
200,230,R407,B407,True,1408200
200,230,R408,B408,True,1251400
200,230,R409,B409,True,1951700
200,230,R410,B410,True,2250100
200,230,R411,B411,True,1468700
200,230,R412,B412,True,1367400
200,230,R413,B413,True,1485500
200,230,R414,B414,True,1140600
200,230,R415,B415,True,1817700
200,230,R416,B416,True,1468700
200,230,R417,B417,True,1367400
200,230,R418,B418,True,1485500
200,230,R419,B419,True,1167100
200,230,R420,B420,True,1468700
200,230,R421,B421,True,1367400
200,230,R422,B422,True,1488700
200,230,R423,B423,True,1476500
200,230,R424,B424,True,2250100
200,230,R425,B425,True,1367400
200,230,R426,B426,True,2055100
200,230,R427,B427,True,2250100
200,230,R428,B428,True,1817700
200,230,R429,B429,True,1488700
200,230,R430,B430,True,1367400
220,250,R358,B358,False,1715400
220,250,R362,B362,False,1187100
220,250,R374,B374,False,1681800
220,250,R375,B375,False,2523300
220,250,R400,B400,False,1527500
220,250,R403,B403,False,1150600
220,250,R404,B404,False,2513300
220,250,R405,B405,True,1464000
220,250,R406,B406,True,2079400
220,250,R407,B407,False,1418200
220,250,R408,B408,True,1261400
220,250,R409,B409,True,1961700
220,250,R410,B410,True,2260100
220,250,R411,B411,True,1478700
220,250,R412,B412,True,1377400
220,250,R413,B413,True,1495500
220,250,R414,B414,False,1150600
220,250,R415,B415,True,1827700
220,250,R416,B416,True,1478700
220,250,R417,B417,True,1377400
220,250,R418,B418,True,1495500
220,250,R419,B419,True,1177100
220,250,R420,B420,True,1478700
220,250,R421,B421,True,1377400
220,250,R422,B422,True,1498700
220,250,R423,B423,True,1486500
220,250,R424,B424,True,2260100
220,250,R425,B425,True,1377400
220,250,R426,B426,True,2065100
220,250,R427,B427,True,2260100
220,250,R428,B428,True,1827700
220,250,R429,B429,True,1498700
220,250,R430,B430,True,1377400
220,250,R431,B431,True,1468700
220,250,R432,B432,True,1488700
220,250,R433,B433,True,1629300
220,250,R434,B434,True,1468700
220,250,R435,B435,True,2250100
220,250,R436,B436,True,1167100
220,250,R437,B437,True,1468700
220,250,R438,B438,True,1367400
220,250,R439,B439,True,1488700
220,250,R440,B440,True,1457400
220,250,R441,B441,True,2503300
220,250,R442,B442,True,1367400
220,250,R443,B443,True,1468700
220,250,R444,B444,True,1468700
220,250,R445,B445,True,1367400
220,250,R446,B446,True,1696600
220,250,R447,B447,True,2503300
220,250,R448,B448,True,1817700
220,250,R449,B449,True,1961700
220,250,R450,B450,True,2503300
220,250,R451,B451,True,1367400
220,250,R452,B452,True,1408200
220,250,R453,B453,True,1961700
220,250,R454,B454,True,1454000
220,250,R455,B455,True,1438100
220,250,R456,B456,True,1367400
220,250,R457,B457,True,1167100
220,250,R458,B458,True,1408200
220,250,R459,B459,True,1517500
220,250,R460,B460,True,1629300
220,250,R461,B461,True,1408200
220,250,R462,B462,True,1140600
220,250,R463,B463,True,2503300
220,250,R464,B464,True,1468700
220,250,R465,B465,True,1716600
220,250,R466,B466,True,1466500
220,250,R467,B467,True,1367400
220,250,R468,B468,True,1476500
220,250,R469,B469,True,1629300
220,250,R470,B470,True,2240100
220,250,R471,B471,True,1454000
220,250,R472,B472,True,1468700
220,250,R473,B473,True,1795500
240,270,R404,B404,False,2523300
240,270,R444,B444,True,1478700
240,270,R445,B445,False,1377400
240,270,R447,B447,False,2513300
240,270,R448,B448,True,1827700
240,270,R449,B449,True,1971700
