batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_cost(원),assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2587,,9,4,7,726,17:46,733,17:53,99,17,82,3,280527,,,,,,Overdue
B2672,,3,5,7,727,17:47,734,17:54,58,10,48,3,298065,,,,,,Overdue
B2596,,3,10,10,727,17:47,737,17:57,93,17,76,3,281167,,,,,,Overdue
B2616,,1,10,7,728,17:48,735,17:55,55,16,39,3,303630,,,,,,Overdue
B2600,,9,1,8,728,17:48,736,17:56,102,18,84,3,279855,,,,,,Overdue
B2663,,7,6,6,730,17:50,736,17:56,86,14,72,3,279350,,,,,,Overdue
B2687,,8,3,6,730,17:50,736,17:56,54,12,42,3,300253,,,,,,Overdue
B2714,,3,4,6,730,17:50,736,17:56,44,9,35,2,294892,,,,,,Overdue
B2626,,9,4,7,730,17:50,737,17:57,99,18,81,3,280814,,,,,,Overdue
B2639,,1,10,7,730,17:50,737,17:57,55,16,39,3,303630,,,,,,Overdue
B2659,,3,10,10,733,17:53,743,18:03,93,17,76,4,289473,,,,,,Overdue
B2718,,6,10,6,734,17:54,740,18:00,69,13,56,3,290129,,,,,,Overdue
B2728,,3,6,6,734,17:54,740,18:00,72,12,60,3,286874,,,,,,Overdue
B2638,,9,10,7,734,17:54,741,18:01,107,21,86,4,268354,,,,,,Overdue
B2665,,8,10,7,735,17:55,742,18:02,86,19,67,4,278159,,,,,,Overdue
B2749,,8,3,6,736,17:56,742,18:02,54,12,42,3,300253,,,,,,Overdue
B2654,,9,10,7,736,17:56,743,18:03,107,21,86,4,268354,,,,,,Overdue
B2712,,1,10,7,736,17:56,743,18:03,55,15,40,3,302425,,,,,,Overdue
B2740,,8,1,6,737,17:57,743,18:03,73,14,59,3,288535,,,,,,Overdue
B2690,,2,10,8,737,17:57,745,18:05,104,18,86,4,284316,,,,,,Overdue
B2705,,3,10,10,737,17:57,747,18:07,93,17,76,4,289473,,,,,,Overdue
B2698,,8,6,6,738,17:58,744,18:04,101,19,82,4,283808,,,,,,Overdue
B2723,,9,4,7,738,17:58,745,18:05,99,17,82,3,280527,,,,,,Overdue
B2731,,9,3,6,739,17:59,745,18:05,78,17,61,3,276331,,,,,,Overdue
B2722,,9,1,8,739,17:59,747,18:07,102,18,84,3,559710,,,,,,Overdue
B2775,,8,4,5,740,18:00,745,18:05,95,14,81,3,279688,,,,,,Overdue
B2721,,8,6,6,740,18:00,746,18:06,101,19,82,3,276268,,,,,,Overdue
