num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory
100,1172258000,3432,816,4248,1106.787,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_100
105,1018653800,3538,710,4248,1107.66,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_105
110,941218500,3590,658,4248,1107.093,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_110
115,890876700,3628,620,4248,1107.913,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_115
120,803717700,3688,560,4248,1107.791,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_120
125,728649400,3739,509,4248,1107.481,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_125
130,677884800,3771,477,4248,1107.303,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_130
135,621811400,3813,435,4248,1108.427,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_135
140,583033500,3839,409,4248,1109.697,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_140
145,530601500,3874,374,4248,1110.287,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_145
150,452377200,3927,321,4248,1108.89,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_150
155,444921800,3935,313,4248,1112.043,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_155
160,394230400,3972,276,4248,1110.699,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_160
165,392102600,3973,275,4248,1110.599,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_165
170,346951100,4007,241,4248,1111.608,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_170
